"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Ref**";"Version1.0.0.";1;"Val**";;;
2;",,,,,,,,,,,,,,,,,,,";"buzzardLabel";20;"";;;
3;"H1,H2,H3,H4";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
4;"R3,R7,R8,R6,R1,R4,R2";"0603R";7;"10k";;;
5;"JP6,JP5";"SMD_JUMPER";2;"SMD_JUMPER";;;
6;"C7,C3,C9";"1206C";3;"10u";;;
7;"R5";"0402R";1;"2k2";;;
8;"R9";"0603R";1;"390k";;;
9;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
10;"K3";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
11;"D1";"0402LED";1;"purple";;;
12;"C1,C8,C2,C5";"0603C";4;"2u2";;;
13;"G***,G***";"Logo-Front-easyC-5mm";2;"LOGO";;;
14;"U1";"SOT-363";1;"NMOS-DUAL";;;
15;"JP1,JP3";"SMD_JUMPER_3_PAD_TRACE";2;"SMD_JUMPER_3_PAD_TRACE";;;
16;"REF**";"Symbol-Front-I2C-ADDR-Field";1;"Symbol-Front-I2C-ADDR-Field";;;
17;"K2,K1";"easyC-connector";2;"easyC-SMD";;;
18;"JP4,JP2";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";2;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
19;"U3";"OLED_GME128x64_30p";1;"OLED_GME12864_30p";;;
20;"G***";"Logo-Back-SolderedVERTICAL-6mm";1;"LOGO";;;
21;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
22;"C6";"0603C";1;"100n";;;
23;"G***";"Logo-Front-OSH-3.5mm";1;"LOGO";;;
24;"C4";"0603C";1;"1u";;;
25;"U2";"SOT-23-5";1;"SE5218";;;
